timestamp,open,high,low,close,volume
2026-04-10 05:01:59.999000+00:00,72120.0,72120.01,72085.95,72091.3,4.6576
2026-04-10 05:02:59.999000+00:00,72091.3,72091.3,72069.16,72069.16,4.46123
2026-04-10 05:03:59.999000+00:00,72069.16,72088.67,72069.16,72083.46,3.37608
2026-04-10 05:04:59.999000+00:00,72083.46,72130.05,72044.56,72130.05,7.17301
2026-04-10 05:05:59.999000+00:00,72130.05,72171.79,72118.37,72118.37,5.02261
2026-04-10 05:06:59.999000+00:00,72118.36,72146.96,72118.36,72139.37,6.80931
2026-04-10 05:07:59.999000+00:00,72139.38,72139.38,72098.9,72098.9,3.98844
2026-04-10 05:08:59.999000+00:00,72098.89,72098.9,72043.09,72062.87,11.41139
2026-04-10 05:09:59.999000+00:00,72062.87,72062.88,72042.59,72052.99,4.25814
2026-04-10 05:10:59.999000+00:00,72052.99,72062.71,72012.05,72020.01,7.80702
2026-04-10 05:11:59.999000+00:00,72020.01,72020.01,72010.4,72013.03,6.14677
2026-04-10 05:12:59.999000+00:00,72013.03,72031.71,72013.03,72031.7,18.442
2026-04-10 05:13:59.999000+00:00,72031.71,72044.4,72031.7,72043.74,3.89929
2026-04-10 05:14:59.999000+00:00,72043.75,72060.05,72028.78,72060.04,12.12793
2026-04-10 05:15:59.999000+00:00,72060.04,72060.05,72034.91,72034.92,3.33236
2026-04-10 05:16:59.999000+00:00,72034.92,72049.51,72018.01,72049.5,8.71043
2026-04-10 05:17:59.999000+00:00,72049.51,72049.51,72023.2,72042.72,5.4043
2026-04-10 05:18:59.999000+00:00,72042.73,72042.73,72023.2,72023.2,6.98865
2026-04-10 05:19:59.999000+00:00,72023.2,72074.0,72023.2,72074.0,11.29082
2026-04-10 05:20:59.999000+00:00,72073.99,72182.34,72073.99,72157.27,18.69141
2026-04-10 05:21:59.999000+00:00,72157.26,72171.45,72155.18,72168.15,6.94238
2026-04-10 05:22:59.999000+00:00,72168.16,72168.16,72125.15,72130.8,8.75205
2026-04-10 05:23:59.999000+00:00,72130.8,72179.0,72130.79,72173.71,5.15325
2026-04-10 05:24:59.999000+00:00,72173.72,72222.53,72173.71,72222.53,10.32496
2026-04-10 06:04:59.999000+00:00,72117.79,72156.71,72112.52,72156.71,25.15664
2026-04-10 06:05:59.999000+00:00,72156.71,72179.85,72130.07,72130.08,9.50911
2026-04-10 06:06:59.999000+00:00,72130.07,72148.78,72130.07,72148.77,6.77447
2026-04-10 06:07:59.999000+00:00,72148.77,72148.78,72132.61,72132.61,3.69769
2026-04-10 06:08:59.999000+00:00,72132.61,72132.62,72127.06,72127.07,3.70484
2026-04-10 06:09:59.999000+00:00,72127.06,72127.06,72092.95,72092.96,4.71899
2026-04-10 06:10:59.999000+00:00,72092.96,72092.96,72073.31,72086.59,8.29321
2026-04-10 06:11:59.999000+00:00,72086.59,72113.0,72086.58,72090.04,17.50345
2026-04-10 06:12:59.999000+00:00,72090.04,72090.05,72073.98,72077.74,4.34146
2026-04-10 06:13:59.999000+00:00,72077.73,72077.74,72050.45,72059.43,6.18457
2026-04-10 06:14:59.999000+00:00,72059.43,72140.32,72059.43,72140.09,15.73618
2026-04-10 06:15:59.999000+00:00,72140.1,72140.1,72110.51,72122.41,6.21077
2026-04-10 06:16:59.999000+00:00,72122.42,72123.61,72106.64,72110.48,3.26199
2026-04-10 06:17:59.999000+00:00,72110.49,72110.49,72100.0,72100.0,2.93353
2026-04-10 06:18:59.999000+00:00,72100.0,72100.0,72064.32,72064.32,4.1743
2026-04-10 06:19:59.999000+00:00,72064.32,72064.33,71969.02,71999.98,15.76851
2026-04-10 06:20:59.999000+00:00,71999.97,72002.61,71957.55,71978.0,9.43092
